"","text"
"5127","Taking precautionary measures to contain the spread of Covid-19, Pakistan has put a travel ban on 26 countries, including India.

#briflynews #Worldnews #covid19 #Pakistan #travelban https://t.co/A4HPh8EpS2"
"5128","#Covid19 Lateral Flow Device (LFD) tests can be collected from various locations on campus including:

• @NewcastleSU Reception
• King’s Gate Level 2
• The Sports Centre

For more information on non-symptomatic testing, see here <U+0001F449> https://t.co/09dAzm3wWm #WeAreNCL https://t.co/OgSXp7lRgF"
"5129","If the 21st June is delayed to prevent 100k cases a day. So be it. With our vaccination programme doing so well we can’t afford to go backwards now and risking another lockdown #SundayThoughts #COVID19"
"5130","As India battles the #COVID19 pandemic, here's how top companies are 'leading with their heart'

Click on the link to know more: https://t.co/eYrspYsvwu

#HeartOfBiz #EmpathyAtWork @CNBCTV18Live @BharatForgeLtd https://t.co/TW8ufr932s"
"5131","The Startup Investment Playbook: #COVID19 Impact &amp; Road Ahead In 2021. @ShereenBhan speaks with @BKartRed, @PrabhavKashyap &amp; @ankitag1186 on @CNBCYoungTurks.

@IndianVCA @BlumeVentures @BainAlerts @AlteriaCap

https://t.co/wjhgB9KUne"
"5132","Mumbaikar Santosh Vasudeo Hulawale develops 4 robots for #COVID19 assistance

#AI #Robots #AIForCOVID #ArtificialIntelligence #CoronavirusPandemic #Mumbai https://t.co/wmdkXSs3tD"
"5133","#BusinessSentimeter | @ShereenBhan speaks with @subramnatarajan of @ibm_in, @PrakashMallya of @IntelIndia &amp; Sameer Garde of @Cisco about the impact of #COVID19 on IT sector &amp; the key focus areas

https://t.co/96txKZxWzt"
"5134","Now that 2nd #COVID19 wave is ebbing, how strong will the pent up recovery be compared to what we saw last yr? Is rural demand worse off? Will exports pull us up? @latha_venkatesh talks to Ananth Nageswaran, Samiran Chakraborty &amp; Dhiraj Nayyar

https://t.co/ob0d4XE3uk"
"5135","#GlobalDialogues | EY Global CEO @Carmine_DiSibio speaks to @ShereenBhan on #COVID19, #cryptocurrency, #G7 corporate tax ceiling, climate crisis, #ESG investing &amp; why he remains bullish on the India story.

@EYnews @EY_India

https://t.co/Cn5cLJ2AUG"
"5136","PM @narendramodi sought the support of the G7 grouping to lift patent protections for #COVID19 vaccines
https://t.co/b2fYQsfbSi"
"5137","Arvind Kejriwal said the #COVID19 situation in Delhi has significantly improved and the number of cases have also declined
https://t.co/YhG2OnvQfV"
"5138","The active #COVID19 cases further declined to 10,26,159
https://t.co/AH9VKr5j5r"
"5139","COMING UP @ 12 NOON | The Startup Investment Playbook: #COVID19 Impact &amp; Road Ahead In 2021
 
Catch @ShereenBhan talk to @BKartRed, @PrabhavKashyap &amp; @ankitag1186.

@CNBCYoungTurks @IndianVCA @BlumeVentures @BainAlerts @AlteriaCap https://t.co/V4bspLF1zV"
"5140","According to the @NCPCR_, 3,621 children have been orphaned during the #pandemic, and over 26,000 children have lost one parent. #COVID19

https://t.co/FGLfonSzuA"
"5141","Corona reports 56 more victims nationwide, 1,239 new cases reported
https://t.co/xMQOmsSzZK
#CoronaVirusUpdates #Corona #COVID19 #NCOC #Pakistan"
"5142","#COVID19 claims 56 lives, infects 1,239 more people 

#APPNews #CoronaVaccination @OfficialNcoc 

https://t.co/yrqm9Lk3Fv https://t.co/Vy5ZBcd8bD"
"5143","56 more deaths due to #Coronavirus and 1,239 new positive cases of the infection have been reported in the country during the last twenty four hours.

According to @OfficialNcoc  36,368 tests were conducted in a day

#APPNews #CoronaVaccine https://t.co/lpIveJp051"
"5144","I want to agree with you all that, dead can come to live bcos GOD is a living GOD, Remember Lazarus? He died for four days but when JESUS Speak, he rose... John 11 vs 43
#MySundayWithYou #Nigeria #COVID19 #youtubersvstiktokers"
"5145","I have just been to get my 4th jab #COVID19  and was discussed to be injected by a man nurse<U+0001F621> .Another man taking a job that could so easily be done by a womxn or somebody from the LGBTQ+ community. The patriarchy is very real my friends."
"5146","Small cities and cottage towns across Canada are grappling with the fallout of surging popularity amid the #Covid19 pandemic. <U+0001F3E1> #MoneyMatters
https://t.co/5DKer8Rp0a"
"5147","Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well <U+0001F64F>. Download the app https://t.co/NURpaIRHAU"
"5148","#Covid19UK #COVID19 The reality is this virus is going to keep on mutating, we can try and mitigate the risk, but it is impossible to reduce that risk to nil. The young, 20 to 30 years old, have to be allowed to decide how they manage the risk. Open up more, but not completely."
"5149","Fully vaccinated with AZ!
#COVID19 #astrazenecavaccine"
"5150","TODAY IN BRIEF: 105 FIJIANS TESTED POSITIVE FOR #COVID19, 8 MADE RECOVERY. 2 COVID19 PATIENTS DIED OF PRE-EXISTING SEVERE ILLNESSES. 796 ACTIVE CASES IN ISOLATION.
#COVID19Update"
"5151","Fiji records 105 #COVID19 cases today. This is the highest number of cases recorded in a day. 

Clusters:

CWMH: 21
Nawajikuma, Nawaka, Nadi: 16
Tramline, Nawaka, Nadi: 6 
Kinoya: 1
Navosai: 2
Waila: 11
Navy: 11
IMT: 8
Muanikoso: 15
Nasinu Police Barracks: 7"
"5152","Dr Raghib Ali, the government's adviser on #COVID19 and ethnicity, says the situation has ""really changed"" in the last fortnight, adding that the Delta variant has ""transformed the situation"" and that we need to be ""very cautious"" going forward

Latest: https://t.co/XiWXWDFuaW https://t.co/smCSKYYNp7"
"5153","@GiraudSylvain This. THE epidemiological unknown. What is the pattern of decay in acquired immunity, how do new variants affect that pattern, what impact do we get from standard repeat jabs or adjusted boosters? A model to frame the systemic process would be good? #COVID19. #Vax. #Futures."
"5154","Doctors Could Have Predicted the #Pandemic - James Goydos MD

https://t.co/kAU8h3K87V

#covid19 #coronavirus"
"5155","Nothing, just :) 
#OdishaCares  #COVID19 https://t.co/GWI0O4qFKi"
"5156","After treatment for covid19. 90days no symptoms should be done ignored.,2%-5%are morality rate in 2nd wave.
#Corona
#IndiaFightsCorona
#coronavirus
#COVID19
#DENFIN
#Eriksen
#HBLPSL6
#FortniteInvasion
#HappyBirthdayNBK
#IkatanCinta
#youtubersvstiktokers
https://t.co/5zumkOoT4X"
"5157","If you have any suggestions or help to MyFoodwalla campaign against the covid19 pandamic &amp; deadly new strain email myfoodwalla@gmail.com
#coronavirus
#Corona
#NariShakti4NewIndia
#FortniteInvasion
#kooapp
#IndiaFightsCorona
#youtubersvstiktokers
#youtubevstiktok"
"5158","South Africa varient of covid19 of 3rd wave is very infectious 45% morality is registered. Infections 70% more per day than 2nd wave.
#coronavirus
#Corona
#MainaAndKingangi
#MainaAndKingangi
#youtubersvstiktokers
#youtubevstiktok
#ThursdayThoughts
https://t.co/VwYYnajYaM"
"5159","COVID task force spreads awareness on #COVID19, #BlackFungus 

Read: https://t.co/9mN2CT9NTl"
"5160","An inspiring Sunday read. Vaccinators in #Kashmir are trekking for almost six hours to inoculate #himalayan shepherd tribes against the #COVID19. Hope we can emulate this in #Uttarakhand where the #shepherd community still awaits the #vaccination. 

https://t.co/35A1qmsuDz"
"5161","@iScrew's account has been withheld in India in response to a legal demand. Learn more."
"5162","This morning I did my 1st ever std. #halfmarathon (21.1 KM) as part of the ultimate human race. The #ComradesCentenaryHopeChallenge forms part of the @ComradesRace Centenary Celebrations inspiring hope for the fight against #Covid19. Today, we ran for hope. Cela nithi hooray <U+0001F973>. https://t.co/TRA2zitjW1 https://t.co/8kKIydREDF"
"5163","It is clear that only around 70% of adults are going to get vaccinated and there are no plans for kids to do so. No pollie is even recognising this as an issue. How can we move forward on this basis? #COVID19"
"5164","It says people with long beard face higher risk of #COVID19 because mask can’t be worn properly <U+0001F608> https://t.co/STvLGjak9K"
"5165","@nirxcoin High reputation and strong real name, I hope more friends will participate in the understand

@totop351 @Teguhjalu3 @Frizalfah 

tg: @inisalsa17 

0xA2AFC37D25cb7cAB8010BDCF65511Eb4bE5C7952

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway"
"5166","@thehill Anyone who isn’t taking #COVID19 precautions seriously - vaccinated or not - us tempting fate. Much of the world is unvaccinated and #COVID19 is infecting new people everyday with the chance of mutating into a variant our vaccines can’t mitigate. These are still dangerous times."
"5167","@HemantSorenJMM @BannaGupta76 @DrRameshwarOra1 
Sir it's high time now that we unlock our jharkhand.
Mental&amp;physical health are equally important for any person.Jharkhand will lag behind if we continue to be in such restrictions. Please unlock jharkhand.#unlockjharkhand #COVID19 https://t.co/YMKhOlgJWb"
"5168","BCDA: @FIBA qualifiers signal hope in PH fight vs #COVID19 https://t.co/duaeVzX9cL"
"5169","@nirxcoin thank you for this opportunity to participate...
@karlava27618770
@joserod63914178
@Granadino92
#BNB  0xcb063c0ee9c2c9e7b2c495b27598ebb8a060e1bc

TG Username: @anki81

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway https://t.co/YfQKm4GNF9"
"5170","Good Work, good governance <U+0001F1FA><U+0001F1F8> <U+0001F64F>. #COVID19 https://t.co/b9CRkR00d1"
"5171","Probably the most spot-on I have read on the environmental dangers of travel-euhphoria in the tail end of #COVID19. 

https://t.co/EvukxZXLVU

by @DrKellyHDunning
for @Revelator_News

#tourism #climate #enviromentalimpact"
"5172","If there is not a major pushback against this predicted non easing of restrictions on #June21st 

this will never end

and expect full #LockDown again this winter 

#sage are lunatics and the Gov hang on their every word

#COVID19 
#Corona"
"5173","Let us get your business back on track after #COVID19 with world-class social media promotion, just speak to @PiggyMarketNo1 to get started today"
"5174","Hundreds have signed up to next week’s #southlondonlistens community summit Join them now and find out what we are going to do to tackle the #mentalhealth crisis caused by #covid19 https://t.co/uy9PQ4dbyb https://t.co/8Ky1FrfATG"
"5175","#COVID19 Vaccination update https://t.co/iNq9aUxXEI"
"5176","Another COVID-free week in Greenwich schools | #coronavirus | #kids. | #children | #schools | #sextrafficing | #childsaftey https://t.co/69G58GDTVM"
"5177","#DRC Kinshasa - Congo president says the capital's hospitals 'overwhelmed' by coronavirus cases #COVID19
https://t.co/5AYvQgfo6f"
"5178","#SouthAfrica ongoing coronavirus vaccine rollout complications as third wave hits  - The J&amp;J vaccine doses stored in Gqeberha, Eastern Cape, will not be released due to contamination #COVID19

https://t.co/MnScKNbiJf"
"5179","<U+0001F1F8><U+0001F1F1> Sierra Leone players were yesterday blocked at the <U+0001F1EC><U+0001F1F3> Guinea border for more than 12 hours for lack of #COVID19 test results.

Sierra Leone will take on <U+0001F1E7><U+0001F1EF> Benin in <U+0001F1EC><U+0001F1F3> Conakry tomorrow.

The Leone Stars travelled to Guinea by road.

#TOTALAFCONQ https://t.co/7PrWQYdWq1"
"5180","In Krishna Mandir,sector-14 Karnal a Mega #VaccinationCamp organized by BJP Karnal to #vaccinate people in the fight against #COVID19.

#IndiaFightsCorona https://t.co/rMn1rzdRup"
"5181","A few countries have ordered enough #COVID19 vaccine doses to vaccinate their entire populations 3X over! Tell leaders to urgently share surplus doses w/ low income countries. #EndCovidEverywhere https://t.co/r3vJLVXs0r"
"5182","Project Travel Cancelled? Improve your MS Project Skills! #MSProject #covid19
https://t.co/5TzNtdZLj3 https://t.co/o4MQYc7WEv"
"5183","#COVID19 Led To A Record Year For Funding Infectious Disease Companies —Will That Continue?

Companies that focus on infectious disease, whether developing vaccines, antibiotics or other therapeutics, have been historically underfunded. Not this year.

https://t.co/mfRIO7oohp"
"5184","The role of sexual dimorphism in susceptibility to #SARSCoV2 infection, disease severity, and mortality:

Facts, controversies and future perspectives

https://t.co/EGcXE8jhwE #COVID19 #coronavirus"
"5185","A small study that repeatedly tested the pets of people with #COVID19 suggests that 31% of dogs &amp; 40% of cats acquired a #SARSCoV2 infection.

There remains no evidence that pets with the infection can pass it on to people or other animals.

https://t.co/kDjW6rYgAa"
"5186","#CoronaVirusUpdates Update: Delhi restaurants to reopen with 50% seating, Malls and markets to stay open till 8 pm.
Wish to see better india soon.
#India #COVID19 
#RespectWomen #respectmodi"
"5187","Pre-existing illness is the new normal. #JustSaying 

#TeamFiji #FijiNews #CovidFiji #Covid19 #DeltaVariant #NewDailyRecord"
"5188","Did U know?Wrkout has gr8 benefits on Mental Health! During dis testing times of the #COVID19,tk out some time 4 urself &amp; wrk out at home to stay fit &amp; happy
If U or nyone U know needs ny psychological help,call #NIMHANS @ 08046110007 #IndiaFightsCorona
Reposted from @mygovindia https://t.co/ABtpNyPpkq"
"5189","EU_Commission: A new report shows the #EUbudget helped provide a swift response to the #COVID19 crisis in 2020, all the while supporting key EU priorities.

And with the #NextGenerationEU plan comes an even bigger responsibility.

Read more about last year and the way forwar…"
"5190","Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well <U+0001F64F>. Download the app https://t.co/0JczUO21SJ"
"5191","@nirxcoin with the opportunity to take part in this airdrop, I am very enthusiastic because this is an excellent project
@Sangoro351 @yyeenniiee @Thamrinagatha 

0xBE2105809b4aC804F06fF4de1262991813042006

#Nigeria #Africa #cryptocurrency #giveway #COVID19 #airdropalert #Airdrop #giveaway"
"5192","Desperately Depressed <U+0001F643>..... 
#youtubersvstiktokers #BanTiktokFromPakistan #thunderstorm #COVID19 #Crypto #cryptocurrency"
